#TYPE System.Data.DataRow
"FileName","ARCH","DotNET","ASLR","DEP","Authenticode","StrongNaming","SafeSEH","ControlFlowGuard","HighentropyVA"
"C:\EBI_Tema\exe\FW\MetroFramework.Design.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\MetroFramework.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\MetroFramework.Fonts.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\Microsoft.Bcl.AsyncInterfaces.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\Microsoft.Extensions.DependencyInjection.Abstractions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\Microsoft.Extensions.DependencyInjection.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\MigraDoc.DocumentObjectModel.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\MigraDoc.Rendering.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\PdfSharp.Charting.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\PdfSharp.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\PdfSharp.resources.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\ScheduleUpgrade.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\ScheduleUpgrade_old.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Buffers.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Configuration.ConfigurationManager.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Drawing.Common.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.IO.Packaging.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Memory.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Numerics.Vectors.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Resources.Extensions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Runtime.CompilerServices.Unsafe.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Security.AccessControl.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Security.Permissions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Security.Principal.Windows.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.ValueTuple.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Web.Helpers.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Web.Mvc.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Web.Razor.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Web.WebPages.Deployment.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Web.WebPages.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\System.Web.WebPages.Razor.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\taskschd.dll","AMD64","False","True","True","True","N/A","N/A","True","True"
"C:\EBI_Tema\exe\FW\WebDriver.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\adodb.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\AESEncryptionLibrary.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\BouncyCastle.Crypto.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Castle.Core.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\chromedriver.exe","I386","False","True","True","False","N/A","True","True","N/A"
"C:\EBI_Tema\exe\chromedriver_o.exe","I386","False","True","True","False","N/A","True","True","N/A"
"C:\EBI_Tema\exe\chromedriver_old.exe","I386","False","True","True","False","N/A","True","True","N/A"
"C:\EBI_Tema\exe\ClosedXML.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHComESIG.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHEBIInterface.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtEBIInterface.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtMsgQueue.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtMsgScat.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtQueue.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtRas.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtRegistry.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtSCATInterface.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtSecurity.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtSP_TemaQueues.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtTIMBDAT.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHExtTrace.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHFTPBlockGen.dll","I386","False","False","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHInstallShieldUtils.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHLDAP.dll","I386","False","False","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHMsgQueue.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHNETCtrlLib.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETDB.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETImportInterfaces.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNetLDAP.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNetLDAPImportInterfaces.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNetLDAPObject.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETMainCtrl.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETObjectDB.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETPanel.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETPanelInterface.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETPrint.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETSQLPrintReport.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNetTemaConst.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNetTemaLDAPObject.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETTemaMail.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETTemaMailContact.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETTemaRegistry.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNETTrace.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNET_CSSN_SCANNER.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHNET_RtuWizard.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\DHRegistry.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHSCATInterface.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHSecurity.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHTExtADODb.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHTExtMemDB.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHTE_CkAccess.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHTE_CommArea.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHTE_Filters.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHTE_Print.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHTE_Template.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHTE_Tools.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHTrace.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DHTS_Save.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\DHUtility.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\DocumentFormat.OpenXml.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\ExcelNumberFormat.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FlexInterfaces.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FlexRecordSet.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FlexUtility.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FWDistributionTool.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.API.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ApplicationServices.API.Common.ComWrapper.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ApplicationServices.API.Common.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ApplicationServices.API.Licence.ComWrapper.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ApplicationServices.API.Licence.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ApplicationServices.API.Station.ComWrapper.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ApplicationServices.API.Station.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.Cms.BusinessObjects.Interfaces.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.Cms.I18NString.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.CompaniesProviderModule.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.Security.Identity.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.Security.OperatorService.Interfaces.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.ServiceFramework.Interfaces.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.State.RedundantActiveServerFinder.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Server.WcfClientUtilities.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Honeywell.Utilities.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\INIFileParser.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Interop.MSXML2.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\MetroFramework.Design.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\MetroFramework.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\MetroFramework.Fonts.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.Bcl.AsyncInterfaces.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.Deployment.Compression.Cab.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.Deployment.Compression.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.Extensions.DependencyInjection.Abstractions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.Extensions.DependencyInjection.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.ReportViewer.Common.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.ReportViewer.ProcessingObjectModel.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Microsoft.ReportViewer.WebForms.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\MigraDoc.DocumentObjectModel.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\MigraDoc.Rendering.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\NetBizCOM.dll","I386","True","False","False","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\NetScanW.dll","I386","True","False","False","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\NetScanWex.dll","I386","True","False","False","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\netstandard.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\OfflineEngineeringDB.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\OfflineEngineeringTool.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\PdfSharp.Charting.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\PdfSharp.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\PdfSharp.resources.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_ClientListener.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_Configuration.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_CS_CTU.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_CS_DIALUP.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_CS_ESI.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_DBInstall.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_DVM.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_EventsStatus.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_FDL.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_FlexExport.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_FTP.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_Import.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_LDAP_Import.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_PCM.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_PS.exe","I386","False","True","True","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\SCAT_RegComAssembly.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\SCAT_Service.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_Simulation.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_Storing.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_System.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_TDBDE.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_TRM.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_TTM.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\SCAT_UPM.exe","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\ScheduleUpgrade.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\ScheduleUpgrade_old.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\signtool.exe","AMD64","False","True","True","True","N/A","N/A","True","True"
"C:\EBI_Tema\exe\System.Buffers.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Configuration.ConfigurationManager.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Data.Common.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Diagnostics.StackTrace.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Diagnostics.Tracing.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Drawing.Common.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Globalization.Extensions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.IO.Compression.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.IO.Compression.FileSystem.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.IO.Packaging.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Memory.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Net.Http.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Net.Sockets.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Numerics.Vectors.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Resources.Extensions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Runtime.CompilerServices.Unsafe.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Runtime.InteropServices.RuntimeInformation.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Runtime.Serialization.Primitives.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Runtime.Serialization.Xml.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Security.AccessControl.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Security.Cryptography.Algorithms.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Security.Permissions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Security.Principal.Windows.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Security.SecureString.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Threading.Overlapped.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.ValueTuple.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Web.Helpers.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Web.Mvc.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Web.Razor.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Web.WebPages.Deployment.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Web.WebPages.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Web.WebPages.Razor.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\System.Xml.XPath.XDocument.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\taskschd.dll","AMD64","False","True","True","True","N/A","N/A","True","True"
"C:\EBI_Tema\exe\TemaDVMMigration.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\TemaDVMSynch.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\TemaPointBuilder.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\Tema_ClientEngine.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\Tema_HideEngine.exe","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\TEMA_ImportHW.exe","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\TEMA_SSO.dll","I386","False","False","False","False","N/A","False","False","N/A"
"C:\EBI_Tema\exe\UpgradeVisitorTemplate.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\WebDriver.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\AutoMapper.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\AutoMapper.Extensions.Microsoft.DependencyInjection.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\EntityFramework.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\EntityFramework.SqlServer.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Google.Protobuf.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.AspNetCore.Server.ClientFactory.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.AspNetCore.Server.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.AspNetCore.Web.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.Core.Api.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.Net.Client.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.Net.ClientFactory.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Grpc.Net.Common.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Microsoft.Data.SqlClient.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Microsoft.Data.SqlClient.SNI.dll","AMD64","False","True","True","True","N/A","N/A","True","True"
"C:\EBI_Tema\GRPCRest\Microsoft.EntityFrameworkCore.Abstractions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Microsoft.EntityFrameworkCore.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Microsoft.EntityFrameworkCore.Relational.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Microsoft.EntityFrameworkCore.SqlServer.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\GRPCRest\Microsoft.Extensions.Caching.Abstractions.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
